X,Y,Z,Amp,Tof
-1,-0.2,0,19.6356,29.168
-0.99,-0.2,0,18.8543,28.96
-0.98,-0.2,0,18.6041,28.8
-0.97,-0.2,0,18.9825,28.656
-0.96,-0.2,0,19.9408,28.48
-0.95,-0.2,0,19.6478,28.336
-0.94,-0.2,0,19.1107,28.176
-0.93,-0.2,0,19.1473,27.984
-0.92,-0.2,0,18.6834,27.856
-0.91,-0.2,0,19.0435,27.664
-0.9,-0.2,0,19.2511,27.44
-0.89,-0.2,0,18.8421,27.312
-0.88,-0.2,0,19.8675,27.12
-0.87,-0.2,0,19.3731,26.912
-0.86,-0.2,0,18.9947,26.784
-0.85,-0.2,0,19.8004,26.624
-0.84,-0.2,0,18.8971,26.464
-0.83,-0.2,0,19.3548,26.192
-0.82,-0.2,0,19.8737,26.016
-0.81,-0.2,0,19.0008,25.856
-0.8,-0.2,0,18.714,25.664
-0.79,-0.2,0,19.1534,25.472
-0.78,-0.2,0,19.4403,25.328
-0.77,-0.2,0,18.8482,25.152
-0.76,-0.2,0,19.1473,24.976
-0.75,-0.2,0,19.3548,24.88
-0.74,-0.2,0,18.775,24.688
-0.73,-0.2,0,19.776,24.496
-0.72,-0.2,0,18.8238,24.352
-0.71,-0.2,0,19.2328,24.176
-0.7,-0.2,0,18.7933,23.968
-0.69,-0.2,0,18.2318,23.776
-0.68,-0.2,0,19.19,23.632
-0.67,-0.2,0,19.4037,23.456
-0.66,-0.2,0,18.659,23.312
-0.65,-0.2,0,19.3365,23.136
-0.64,-0.2,0,18.7994,22.912
-0.63,-0.2,0,18.6224,22.752
-0.62,-0.2,0,19.0252,22.592
-0.61,-0.2,0,18.4027,22.416
-0.6,-0.2,0,18.714,22.256
-0.59,-0.2,0,18.7628,22.064
-0.58,-0.2,0,17.9754,21.92
-0.57,-0.2,0,18.4149,21.744
-0.56,-0.2,0,17.9571,21.552
-0.55,-0.2,0,18.5247,21.392
-0.54,-0.2,0,18.1646,21.216
-0.53,-0.2,0,18.2196,21.04
-0.52,-0.2,0,18.7811,20.88
-0.51,-0.2,0,18.0914,20.688
-0.5,-0.2,0,18.421,20.528
-0.49,-0.2,0,18.4881,20.448
-0.48,-0.2,0,18.2989,20.224
-0.47,-0.2,0,17.8533,19.984
-0.46,-0.2,0,17.8655,19.872
-0.45,-0.2,0,18.366,19.712
-0.44,-0.2,0,17.8411,19.536
-0.43,-0.2,0,18.0486,19.392
-0.42,-0.2,0,18.8177,19.168
-0.41,-0.2,0,17.4078,19.008
-0.4,-0.2,0,18.2989,18.8
-0.39,-0.2,0,17.2735,18.624
-0.38,-0.2,0,17.4932,18.48
-0.37,-0.2,0,18.1951,18.288
-0.36,-0.2,0,17.7374,18.112
-0.35,-0.2,0,18.4576,18
-0.34,-0.2,0,18.189,17.792
-0.33,-0.2,0,18.1646,17.6
-0.32,-0.2,0,17.6031,17.44
-0.31,-0.2,0,17.597,17.28
-0.3,-0.2,0,17.4993,17.168
-0.29,-0.2,0,17.011,16.992
-0.28,-0.2,0,17.3956,16.768
-0.27,-0.2,0,16.7791,16.592
-0.26,-0.2,0,17.0598,16.416
-0.25,-0.2,0,17.1331,16.24
-0.24,-0.2,0,17.1941,16.096
-0.23,-0.2,0,17.0904,15.904
-0.22,-0.2,0,17.4688,15.76
-0.21,-0.2,0,17.5787,15.568
-0.2,-0.2,0,17.127,15.408
-0.19,-0.2,0,17.9388,15.264
-0.18,-0.2,0,16.6448,15.136
-0.17,-0.2,0,17.2185,14.912
-0.16,-0.2,0,17.0476,14.736
-0.15,-0.2,0,16.9378,14.56
-0.14,-0.2,0,16.3274,14.352
-0.13,-0.2,0,17.1209,14.224
-0.12,-0.2,0,17.4017,14.048
-0.11,-0.2,0,16.9988,13.904
-0.1,-0.2,0,15.9307,13.712
-0.09,-0.2,0,16.3091,13.552
-0.08,-0.2,0,16.2908,13.376
-0.07,-0.2,0,17.0415,13.216
-0.06,-0.2,0,16.6387,13.04
-0.05,-0.2,0,16.2358,12.848
-0.04,-0.2,0,16.657,12.704
-0.03,-0.2,0,16.1992,12.496
-0.02,-0.2,0,16.8523,12.368
-0.01,-0.2,0,16.0039,12.208
0,-0.2,0,15.302,12.016
0,-0.19,0,18.0181,12.08
-0.01,-0.19,0,17.3589,12.24
-0.02,-0.19,0,17.9754,12.496
-0.03,-0.19,0,17.4688,12.656
-0.04,-0.19,0,17.0843,12.832
-0.05,-0.19,0,17.0965,13.008
-0.06,-0.19,0,18.3111,13.152
-0.07,-0.19,0,17.7862,13.328
-0.08,-0.19,0,17.7252,13.488
-0.09,-0.19,0,18.0486,13.616
-0.1,-0.19,0,18.012,13.856
-0.11,-0.19,0,17.4261,14
-0.12,-0.19,0,18.7628,14.16
-0.13,-0.19,0,18.4271,14.352
-0.14,-0.19,0,18.1951,14.496
-0.15,-0.19,0,18.1951,14.688
-0.16,-0.19,0,17.6824,14.864
-0.17,-0.19,0,17.6702,15.008
-0.18,-0.19,0,17.8228,15.216
-0.19,-0.19,0,18.4942,15.392
-0.2,-0.19,0,18.4698,15.536
-0.21,-0.19,0,18.891,15.696
-0.22,-0.19,0,19.8187,15.888
-0.23,-0.19,0,17.719,16.048
-0.24,-0.19,0,18.5492,16.224
-0.25,-0.19,0,18.4027,16.384
-0.26,-0.19,0,18.714,16.544
-0.27,-0.19,0,18.2501,16.736
-0.28,-0.19,0,18.0853,16.896
-0.29,-0.19,0,18.2501,17.072
-0.3,-0.19,0,18.5858,17.232
-0.31,-0.19,0,18.891,17.408
-0.32,-0.19,0,18.3416,17.584
-0.33,-0.19,0,19.3365,17.76
-0.34,-0.19,0,18.5247,17.92
-0.35,-0.19,0,18.6712,18.032
-0.36,-0.19,0,18.7506,18.256
-0.37,-0.19,0,18.4027,18.4
-0.38,-0.19,0,19.2267,18.608
-0.39,-0.19,0,19.7577,18.784
-0.4,-0.19,0,19.3976,18.944
-0.41,-0.19,0,18.9154,19.104
-0.42,-0.19,0,19.0619,19.28
-0.43,-0.19,0,18.5492,19.456
-0.44,-0.19,0,18.7994,19.632
-0.45,-0.19,0,20.2399,19.808
-0.46,-0.19,0,19.013,19.952
-0.47,-0.19,0,19.776,20.16
-0.48,-0.19,0,20.069,20.32
-0.49,-0.19,0,19.0741,20.512
-0.5,-0.19,0,19.7699,20.64
-0.51,-0.19,0,20.0934,20.832
-0.52,-0.19,0,20.2948,20.992
-0.53,-0.19,0,19.6356,21.136
-0.54,-0.19,0,19.599,21.328
-0.55,-0.19,0,20.5206,21.52
-0.56,-0.19,0,19.4708,21.632
-0.57,-0.19,0,20.0568,21.84
-0.58,-0.19,0,18.9703,22.048
-0.59,-0.19,0,20.1544,22.192
-0.6,-0.19,0,19.245,22.368
-0.61,-0.19,0,19.5807,22.512
-0.62,-0.19,0,19.7455,22.656
-0.63,-0.19,0,20.0812,22.832
-0.64,-0.19,0,20.6793,23.024
-0.65,-0.19,0,20.484,23.2
-0.66,-0.19,0,20.2277,23.344
-0.67,-0.19,0,19.8614,23.52
-0.68,-0.19,0,19.4403,23.712
-0.69,-0.19,0,19.1717,23.904
-0.7,-0.19,0,20.7343,24.032
-0.71,-0.19,0,20.4596,24.208
-0.72,-0.19,0,20.8014,24.384
-0.73,-0.19,0,19.6844,24.592
-0.74,-0.19,0,20.8441,24.752
-0.75,-0.19,0,20.7953,24.912
-0.76,-0.19,0,20.8197,25.104
-0.77,-0.19,0,20.6793,25.264
-0.78,-0.19,0,19.4586,25.424
-0.79,-0.19,0,19.7272,25.584
-0.8,-0.19,0,20.307,25.744
-0.81,-0.19,0,20.4108,25.92
-0.82,-0.19,0,20.2582,26.112
-0.83,-0.19,0,20.4718,26.256
-0.84,-0.19,0,19.9652,26.384
-0.85,-0.19,0,20.4108,26.608
-0.86,-0.19,0,20.0629,26.768
-0.87,-0.19,0,20.1788,26.944
-0.88,-0.19,0,19.837,27.136
-0.89,-0.19,0,19.5563,27.312
-0.9,-0.19,0,20.8808,27.488
-0.91,-0.19,0,20.8014,27.632
-0.92,-0.19,0,20.6854,27.824
-0.93,-0.19,0,20.8441,28
-0.94,-0.19,0,19.2145,28.16
-0.95,-0.19,0,20.5206,28.352
-0.96,-0.19,0,20.4047,28.48
-0.97,-0.19,0,20.3742,28.688
-0.98,-0.19,0,20.3497,28.864
-0.99,-0.19,0,20.3131,28.992
-1,-0.19,0,19.9286,29.152
-1,-0.18,0,22.9072,29.136
-0.99,-0.18,0,22.5166,29.024
-0.98,-0.18,0,22.2175,28.768
-0.97,-0.18,0,21.6742,28.592
-0.96,-0.18,0,22.5654,28.4
-0.95,-0.18,0,23.0415,28.208
-0.94,-0.18,0,23.011,28.048
-0.93,-0.18,0,21.7841,27.888
-0.92,-0.18,0,22.187,27.728
-0.91,-0.18,0,22.7607,27.536
-0.9,-0.18,0,22.0954,27.36
-0.89,-0.18,0,21.8574,27.216
-0.88,-0.18,0,22.1625,27.024
-0.87,-0.18,0,22.7546,26.864
-0.86,-0.18,0,21.2714,26.672
-0.85,-0.18,0,22.3334,26.496
-0.84,-0.18,0,22.6569,26.336
-0.83,-0.18,0,21.6498,26.144
-0.82,-0.18,0,22.0283,26.048
-0.81,-0.18,0,22.2419,25.872
-0.8,-0.18,0,22.2663,25.68
-0.79,-0.18,0,22.0954,25.488
