X,Y,Z,Amp,Tof
-2,-0.2,0,20.2155,46.24
-1.99,-0.2,0,20.1971,46.128
-1.98,-0.2,0,20.5206,45.952
-1.97,-0.2,0,21.2592,45.712
-1.96,-0.2,0,20.716,45.568
-1.95,-0.2,0,21.5888,45.424
-1.94,-0.2,0,22.1137,45.264
-1.93,-0.2,0,20.8197,45.056
-1.92,-0.2,0,20.9601,44.928
-1.91,-0.2,0,21.1066,44.8
-1.9,-0.2,0,20.8258,44.592
-1.89,-0.2,0,21.0578,44.368
-1.88,-0.2,0,20.6366,44.272
-1.87,-0.2,0,20.8319,44
-1.86,-0.2,0,21.7475,43.856
-1.85,-0.2,0,20.4169,43.648
-1.84,-0.2,0,21.4667,43.488
-1.83,-0.2,0,20.1422,43.312
-1.82,-0.2,0,20.423,43.168
-1.81,-0.2,0,19.9713,42.992
-1.8,-0.2,0,20.3558,42.832
-1.79,-0.2,0,20.8502,42.64
-1.78,-0.2,0,19.892,42.528
-1.77,-0.2,0,21.0273,42.304
-1.76,-0.2,0,20.539,42.144
-1.75,-0.2,0,19.9835,42.032
-1.74,-0.2,0,20.6366,41.76
-1.73,-0.2,0,20.4108,41.6
-1.72,-0.2,0,20.2704,41.456
-1.71,-0.2,0,20.13,41.28
-1.7,-0.2,0,20.4962,41.104
-1.69,-0.2,0,19.8187,40.912
-1.68,-0.2,0,19.8309,40.752
-1.67,-0.2,0,19.7638,40.592
-1.66,-0.2,0,19.6234,40.416
-1.65,-0.2,0,19.6295,40.24
-1.64,-0.2,0,19.3731,40.192
-1.63,-0.2,0,19.7211,40
-1.62,-0.2,0,19.9713,39.744
-1.61,-0.2,0,21.3202,39.584
-1.6,-0.2,0,20.3253,39.472
-1.59,-0.2,0,20.069,39.216
-1.58,-0.2,0,19.4342,39.024
-1.57,-0.2,0,19.3731,38.96
-1.56,-0.2,0,19.7455,38.688
-1.55,-0.2,0,19.7821,38.496
-1.54,-0.2,0,18.9032,38.352
-1.53,-0.2,0,18.9642,38.192
-1.52,-0.2,0,19.6844,38.016
-1.51,-0.2,0,19.0313,37.84
-1.5,-0.2,0,19.6661,37.776
-1.49,-0.2,0,19.4281,37.52
-1.48,-0.2,0,19.2999,37.328
-1.47,-0.2,0,18.9703,37.2
-1.46,-0.2,0,20.3009,37.008
-1.45,-0.2,0,19.6112,36.864
-1.44,-0.2,0,18.6712,36.64
-1.43,-0.2,0,19.715,36.464
-1.42,-0.2,0,19.1046,36.304
-1.41,-0.2,0,19.6112,36.128
-1.4,-0.2,0,19.068,36.064
-1.39,-0.2,0,19.8492,35.808
-1.38,-0.2,0,19.8248,35.696
-1.37,-0.2,0,19.4586,35.44
-1.36,-0.2,0,19.245,35.264
-1.35,-0.2,0,19.6417,35.104
-1.34,-0.2,0,18.659,34.912
-1.33,-0.2,0,19.1168,34.768
-1.32,-0.2,0,18.6102,34.64
-1.31,-0.2,0,19.0252,34.4
-1.3,-0.2,0,18.659,34.256
-1.29,-0.2,0,18.7078,34.128
-1.28,-0.2,0,19.422,33.904
-1.27,-0.2,0,18.3111,33.744
-1.26,-0.2,0,18.8849,33.536
-1.25,-0.2,0,19.367,33.408
-1.24,-0.2,0,19.4281,33.2
-1.23,-0.2,0,18.2745,33.072
-1.22,-0.2,0,19.4159,32.864
-1.21,-0.2,0,19.3182,32.704
-1.2,-0.2,0,18.2134,32.56
-1.19,-0.2,0,18.5369,32.352
-1.18,-0.2,0,17.6946,32.176
-1.17,-0.2,0,19.66,32
-1.16,-0.2,0,19.1595,31.856
-1.15,-0.2,0,19.0985,31.68
-1.14,-0.2,0,18.8543,31.52
-1.13,-0.2,0,19.068,31.36
-1.12,-0.2,0,19.4342,31.168
-1.11,-0.2,0,19.0191,31.104
-1.1,-0.2,0,19.4159,30.816
-1.09,-0.2,0,18.7323,30.656
-1.08,-0.2,0,19.5929,30.528
-1.07,-0.2,0,19.2267,30.304
-1.06,-0.2,0,19.1839,30.128
-1.05,-0.2,0,18.7078,30.08
-1.04,-0.2,0,19.1656,29.776
-1.03,-0.2,0,19.5074,29.6
-1.02,-0.2,0,19.3426,29.456
-1.01,-0.2,0,20.2216,29.28
-1,-0.2,0,19.5196,29.104
-0.99,-0.2,0,18.6407,28.96
-0.98,-0.2,0,19.6478,28.832
-0.97,-0.2,0,19.1168,28.688
-0.96,-0.2,0,18.598,28.448
-0.95,-0.2,0,19.4464,28.256
-0.94,-0.2,0,18.8971,28.144
-0.93,-0.2,0,18.8177,27.92
-0.92,-0.2,0,18.659,27.744
-0.91,-0.2,0,18.2806,27.6
-0.9,-0.2,0,19.0191,27.424
-0.89,-0.2,0,19.1839,27.296
-0.88,-0.2,0,19.3609,27.072
-0.87,-0.2,0,18.9337,26.896
-0.86,-0.2,0,19.6844,26.704
-0.85,-0.2,0,19.7211,26.512
-0.84,-0.2,0,18.9947,26.368
-0.83,-0.2,0,19.0558,26.192
-0.82,-0.2,0,20.014,26.048
-0.81,-0.2,0,19.6905,25.856
-0.8,-0.2,0,18.7017,25.744
-0.79,-0.2,0,18.714,25.536
-0.78,-0.2,0,18.2379,25.376
-0.77,-0.2,0,18.5369,25.28
-0.76,-0.2,0,19.6173,24.976
-0.75,-0.2,0,19.1534,24.864
-0.74,-0.2,0,20.0262,24.752
-0.73,-0.2,0,18.9947,24.496
-0.72,-0.2,0,18.8726,24.304
-0.71,-0.2,0,19.129,24.176
-0.7,-0.2,0,19.6112,23.984
-0.69,-0.2,0,19.3426,23.904
-0.68,-0.2,0,18.6041,23.648
-0.67,-0.2,0,19.306,23.472
-0.66,-0.2,0,18.3111,23.296
-0.65,-0.2,0,18.8971,23.152
-0.64,-0.2,0,18.4088,22.944
-0.63,-0.2,0,19.4098,22.8
-0.62,-0.2,0,18.0914,22.656
-0.61,-0.2,0,18.2867,22.432
-0.6,-0.2,0,17.9754,22.288
-0.59,-0.2,0,18.3233,22.128
-0.58,-0.2,0,18.421,21.936
-0.57,-0.2,0,18.1402,21.76
-0.56,-0.2,0,18.8543,21.6
-0.55,-0.2,0,18.2989,21.424
-0.54,-0.2,0,18.0914,21.264
-0.53,-0.2,0,18.6773,21.056
-0.52,-0.2,0,17.9998,20.928
-0.51,-0.2,0,17.7679,20.736
-0.5,-0.2,0,18.5614,20.544
-0.49,-0.2,0,17.6702,20.368
-0.48,-0.2,0,17.2124,20.256
-0.47,-0.2,0,17.89,20.032
-0.46,-0.2,0,17.7618,19.888
-0.45,-0.2,0,17.6763,19.68
-0.44,-0.2,0,17.2918,19.552
-0.43,-0.2,0,17.7862,19.36
-0.42,-0.2,0,17.3589,19.248
-0.41,-0.2,0,17.0476,19.04
-0.4,-0.2,0,18.0914,18.928
-0.39,-0.2,0,18.0486,18.816
-0.38,-0.2,0,17.5054,18.512
-0.37,-0.2,0,17.9571,18.368
-0.36,-0.2,0,17.7984,18.176
-0.35,-0.2,0,17.6885,18.016
-0.34,-0.2,0,17.4871,17.84
-0.33,-0.2,0,17.3345,17.664
-0.32,-0.2,0,17.6031,17.552
-0.31,-0.2,0,17.066,17.296
-0.3,-0.2,0,17.066,17.152
-0.29,-0.2,0,17.2613,16.976
-0.28,-0.2,0,16.6509,16.832
-0.27,-0.2,0,16.7791,16.624
-0.26,-0.2,0,17.3956,16.544
-0.25,-0.2,0,16.7608,16.304
-0.24,-0.2,0,16.6997,16.144
-0.23,-0.2,0,16.3335,15.984
-0.22,-0.2,0,16.3396,15.776
-0.21,-0.2,0,16.7241,15.616
