X,Y,Z,Amp,Tof
0,-0.2,0,17.0354,12.016
0.0025,-0.2,0,17.3162,12
0.005,-0.2,0,17.4078,11.968
0.0075,-0.2,0,18.4088,11.92
0.01,-0.2,0,17.3772,11.856
0.0125,-0.2,0,17.9815,11.824
0.015,-0.2,0,17.2857,11.776
0.0175,-0.2,0,17.7984,11.728
0.02,-0.2,0,17.8655,11.728
0.0225,-0.2,0,17.5726,11.648
0.025,-0.2,0,17.0965,11.6
0.0275,-0.2,0,17.365,11.584
0.03,-0.2,0,17.1575,11.52
0.0325,-0.2,0,17.5054,11.456
0.035,-0.2,0,17.719,11.44
0.0375,-0.2,0,18.4271,11.392
0.04,-0.2,0,16.8218,11.328
0.0425,-0.2,0,17.6214,11.328
0.045,-0.2,0,17.3894,11.296
0.0475,-0.2,0,16.4983,11.216
0.05,-0.2,0,17.243,11.168
0.0525,-0.2,0,18.189,11.152
0.055,-0.2,0,18.3721,11.104
0.0575,-0.2,0,17.5726,11.024
0.06,-0.2,0,17.6641,11.024
0.0625,-0.2,0,17.3162,10.96
0.065,-0.2,0,16.5044,10.928
0.0675,-0.2,0,17.0537,10.896
0.07,-0.2,0,17.3162,10.848
0.0725,-0.2,0,17.0049,10.768
0.075,-0.2,0,16.6326,10.736
0.0775,-0.2,0,15.8635,10.704
0.08,-0.2,0,16.8523,10.672
0.0825,-0.2,0,17.1453,10.608
0.085,-0.2,0,16.6021,10.56
0.0875,-0.2,0,16.4373,10.528
0.09,-0.2,0,17.1819,10.464
0.0925,-0.2,0,17.1697,10.464
0.095,-0.2,0,16.9683,10.4
0.0975,-0.2,0,17.7007,10.352
0.1,-0.2,0,16.4312,10.32
0.1025,-0.2,0,16.95,10.272
0.105,-0.2,0,17.1087,10.256
0.1075,-0.2,0,16.6387,10.224
0.11,-0.2,0,16.5288,10.208
0.1125,-0.2,0,16.071,10.112
0.115,-0.2,0,16.6265,10.096
0.1175,-0.2,0,16.5227,10.032
0.12,-0.2,0,17.8106,10.016
0.1225,-0.2,0,16.8401,9.984
0.125,-0.2,0,15.7659,9.92
0.1275,-0.2,0,16.5349,9.904
0.13,-0.2,0,16.2236,9.808
0.1325,-0.2,0,16.071,9.776
0.135,-0.2,0,16.596,9.712
0.1375,-0.2,0,16.2786,9.664
0.14,-0.2,0,16.1199,9.632
0.1425,-0.2,0,15.7964,9.568
0.145,-0.2,0,16.4983,9.536
0.1475,-0.2,0,16.8462,9.504
0.15,-0.2,0,16.3762,9.488
0.1525,-0.2,0,16.0283,9.44
0.155,-0.2,0,15.8086,9.376
0.1575,-0.2,0,16.01,9.392
0.16,-0.2,0,16.1077,9.328
0.1625,-0.2,0,16.5532,9.248
0.165,-0.2,0,16.5777,9.248
0.1675,-0.2,0,16.1565,9.216
0.17,-0.2,0,16.3152,9.152
0.1725,-0.2,0,15.2104,9.152
0.175,-0.2,0,15.8269,9.056
0.1775,-0.2,0,15.894,9.04
0.18,-0.2,0,15.3142,8.96
0.1825,-0.2,0,15.6011,8.944
0.185,-0.2,0,15.3203,8.88
0.1875,-0.2,0,15.5705,8.832
0.19,-0.2,0,15.8757,8.784
0.1925,-0.2,0,15.1677,8.752
0.195,-0.2,0,14.6977,8.704
0.1975,-0.2,0,14.9907,8.656
0.2,-0.2,0,15.0517,8.592
0.2025,-0.2,0,15.5522,8.608
0.205,-0.2,0,15.1372,8.56
0.2075,-0.2,0,15.0029,8.496
0.21,-0.2,0,14.5878,8.48
0.2125,-0.2,0,15.0029,8.464
0.215,-0.2,0,14.8625,8.352
0.2175,-0.2,0,14.9174,8.304
0.22,-0.2,0,15.5095,8.288
0.2225,-0.2,0,14.7588,8.256
0.225,-0.2,0,15.125,8.208
0.2275,-0.2,0,14.6062,8.128
0.23,-0.2,0,14.6733,8.112
0.2325,-0.2,0,14.069,8.096
0.235,-0.2,0,14.9785,8.064
0.2375,-0.2,0,14.8564,7.984
0.24,-0.2,0,14.4169,7.92
0.2425,-0.2,0,14.7526,7.904
0.245,-0.2,0,14.4658,7.856
0.2475,-0.2,0,14.5451,7.872
0.25,-0.2,0,14.7099,7.84
0.2525,-0.2,0,13.8249,7.744
0.255,-0.2,0,13.8981,7.68
0.2575,-0.2,0,13.6052,7.68
0.26,-0.2,0,13.8737,7.648
0.2625,-0.2,0,13.8676,7.552
0.265,-0.2,0,13.0497,7.552
0.2675,-0.2,0,14.1118,7.504
0.27,-0.2,0,14.2949,7.44
0.2725,-0.2,0,14.5024,7.376
0.275,-0.2,0,13.9409,7.376
0.2775,-0.2,0,14.1789,7.376
0.28,-0.2,0,13.9286,7.296
0.2825,-0.2,0,13.5746,7.216
0.285,-0.2,0,13.2023,7.152
0.2875,-0.2,0,13.0314,7.184
0.29,-0.2,0,13.5624,7.136
0.2925,-0.2,0,13.7333,7.056
0.295,-0.2,0,12.6652,7.024
0.2975,-0.2,0,13.361,6.992
0.3,-0.2,0,13.123,6.96
0.3025,-0.2,0,13.4648,6.896
0.305,-0.2,0,13.6845,6.88
0.3075,-0.2,0,13.2817,6.8
0.31,-0.2,0,12.9032,6.784
0.3125,-0.2,0,12.891,6.752
0.315,-0.2,0,12.3478,6.72
0.3175,-0.2,0,12.0853,6.688
0.32,-0.2,0,13.7577,6.592
0.3225,-0.2,0,12.8422,6.56
0.325,-0.2,0,12.5797,6.496
0.3275,-0.2,0,13.6479,6.464
0.33,-0.2,0,12.0853,6.464
0.3325,-0.2,0,12.2868,6.4
0.335,-0.2,0,12.3783,6.368
0.3375,-0.2,0,11.6947,6.32
0.34,-0.2,0,11.7252,6.288
0.3425,-0.2,0,12.2135,6.192
0.345,-0.2,0,12.7018,6.24
0.3475,-0.2,0,11.9388,6.112
0.35,-0.2,0,12.0304,6.16
0.3525,-0.2,0,11.6642,6.096
0.355,-0.2,0,11.0233,6.016
0.3575,-0.2,0,11.4261,6
0.36,-0.2,0,11.4261,5.904
0.3625,-0.2,0,11.0477,5.904
0.365,-0.2,0,10.8341,5.888
0.3675,-0.2,0,11.298,5.824
0.37,-0.2,0,11.3773,5.744
0.3725,-0.2,0,10.5716,5.76
0.375,-0.2,0,10.6571,5.712
0.3775,-0.2,0,11.2796,5.68
0.38,-0.2,0,10.8829,5.584
0.3825,-0.2,0,10.4678,5.584
0.385,-0.2,0,10.4373,5.536
0.3875,-0.2,0,10.7791,5.44
0.39,-0.2,0,9.88189,5.424
0.3925,-0.2,0,10.5411,5.376
0.395,-0.2,0,10.0284,5.344
0.3975,-0.2,0,9.32035,5.312
0.4,-0.2,0,10.181,5.264
0.4025,-0.2,0,9.70489,5.28
0.405,-0.2,0,9.77203,5.248
0.4075,-0.2,0,9.54009,5.136
0.41,-0.2,0,8.86868,5.056
0.4125,-0.2,0,10.2298,5.056
0.415,-0.2,0,8.67946,5.056
0.4175,-0.2,0,9.60723,5.024
0.42,-0.2,0,9.13724,4.928
0.4225,-0.2,0,8.20948,4.96
0.425,-0.2,0,9.16166,4.88
0.4275,-0.2,0,8.42921,4.816
0.43,-0.2,0,8.7344,4.752
0.4325,-0.2,0,8.65505,4.704
0.435,-0.2,0,8.92361,4.688
0.4375,-0.2,0,8.55129,4.656
0.44,-0.2,0,7.77612,4.608
0.4425,-0.2,0,8.52077,4.544
0.445,-0.2,0,8.35597,4.512
0.4475,-0.2,0,8.28272,4.496
0.45,-0.2,0,7.37938,4.208
0.4525,-0.2,0,8.04468,4.352
0.455,-0.2,0,7.09861,4.32
0.4575,-0.2,0,7.37327,4.112
0.46,-0.2,0,7.51366,7.2
0.4625,-0.2,0,7.11692,4.048
0.465,-0.2,0,7.77001,4.192
0.4675,-0.2,0,6.65304,3.904
0.47,-0.2,0,6.88498,6.704
0.4725,-0.2,0,6.90939,3.856
0.475,-0.2,0,6.52486,7.088
0.4775,-0.2,0,7.12302,7.072
0.48,-0.2,0,6.84225,6.544
0.4825,-0.2,0,6.57369,3.696
0.485,-0.2,0,6.27461,6.544
0.4875,-0.2,0,6.47603,3.648
0.49,-0.2,0,6.61031,6.48
0.4925,-0.2,0,6.03046,6.912
0.495,-0.2,0,6.25019,6.88
0.4975,-0.2,0,5.1149,6.384
0.5,-0.2,0,5.16373,3.408
0.5025,-0.2,0,5.34684,6.784
0.505,-0.2,0,5.40178,3.328
0.5075,-0.2,0,5.63982,6.688
0.51,-0.2,0,5.56658,3.232
0.5125,-0.2,0,5.26749,6.656
0.515,-0.2,0,5.1149,3.12
0.5175,-0.2,0,5.07218,3.088
0.52,-0.2,0,4.65102,6.592
0.5225,-0.2,0,4.32142,7.024
0.525,-0.2,0,4.50453,4.688
0.5275,-0.2,0,4.03455,3.376
0.53,-0.2,0,4.15662,3.392
0.5325,-0.2,0,4.31532,4.656
0.535,-0.2,0,4.39467,2.656
0.5375,-0.2,0,4.30311,2.832
0.54,-0.2,0,4.22376,3.632
0.5425,-0.2,0,4.26649,9.44
0.545,-0.2,0,3.90637,5.168
0.5475,-0.2,0,3.88806,6.288
0.55,-0.2,0,3.9613,5.312
0.5525,-0.2,0,3.69274,6.16
0.555,-0.2,0,3.7843,4.16
0.5575,-0.2,0,4.04065,7.68
0.56,-0.2,0,3.9613,6.032
0.5625,-0.2,0,3.68664,2.688
0.565,-0.2,0,3.35093,5.376
0.5675,-0.2,0,3.53404,2.832
0.57,-0.2,0,4.00403,4.256
0.5725,-0.2,0,4.58998,7.28
0.575,-0.2,0,3.6195,2.496
0.5775,-0.2,0,4.58998,3.04
0.58,-0.2,0,4.63271,2.624
0.5825,-0.2,0,3.88195,2.992
0.585,-0.2,0,5.02945,3.536
0.5875,-0.2,0,4.38246,6.384
0.59,-0.2,0,3.86975,15.072
0.5925,-0.2,0,3.84533,2.848
0.595,-0.2,0,4.41298,9.04
