X,Y,Z,Amp,Tof
-0.4,-0.2,-0.2,6.31733,11.168
-0.39,-0.2,-0.2,6.50655,11.072
-0.38,-0.2,-0.2,7.51976,10.896
-0.37,-0.2,-0.2,6.22578,10.768
-0.36,-0.2,-0.2,6.67745,10.64
-0.35,-0.2,-0.2,6.22578,10.496
-0.34,-0.2,-0.2,5.09659,10.4
-0.33,-0.2,-0.2,5.32243,10.288
-0.32,-0.2,-0.2,6.01825,10.16
-0.31,-0.2,-0.2,5.23087,10.032
-0.3,-0.2,-0.2,5.09659,9.888
-0.29,-0.2,-0.2,5.4384,9.968
-0.28,-0.2,-0.2,5.85345,9.632
-0.27,-0.2,-0.2,5.82904,9.536
-0.26,-0.2,-0.2,6.4272,9.424
-0.25,-0.2,-0.2,6.07929,9.104
-0.24,-0.2,-0.2,6.89108,8.96
-0.23,-0.2,-0.2,6.68355,8.864
-0.22,-0.2,-0.2,6.12812,8.752
-0.21,-0.2,-0.2,5.6093,8.64
-0.2,-0.2,-0.2,5.40788,8.512
-0.19,-0.2,-0.2,5.63982,8.416
-0.18,-0.2,-0.2,4.48012,12.944
-0.17,-0.2,-0.2,4.32142,8
-0.16,-0.2,-0.2,4.52284,7.904
-0.15,-0.2,-0.2,3.83923,9.92
-0.14,-0.2,-0.2,4.02234,9.536
-0.13,-0.2,-0.2,4.04065,7.472
-0.12,-0.2,-0.2,3.99792,7.456
-0.11,-0.2,-0.2,5.29801,6.592
-0.1,-0.2,-0.2,3.70495,7.936
-0.09,-0.2,-0.2,4.06507,7.28
-0.08,-0.2,-0.2,5.38347,4.096
-0.07,-0.2,-0.2,4.88296,4
-0.06,-0.2,-0.2,4.82192,3.856
-0.05,-0.2,-0.2,5.26139,3.776
-0.04,-0.2,-0.2,4.99893,3.472
-0.03,-0.2,-0.2,4.52895,3.648
-0.02,-0.2,-0.2,3.66832,9.888
-0.01,-0.2,-0.2,4.01624,3.536
0,-0.2,-0.2,4.4496,4.064
0,-0.19,-0.2,3.37535,12.56
-0.01,-0.19,-0.2,5.03555,3.2
-0.02,-0.19,-0.2,5.23087,14.736
-0.03,-0.19,-0.2,5.40788,3.504
-0.04,-0.19,-0.2,5.54216,3.648
-0.05,-0.19,-0.2,4.91958,3.792
-0.06,-0.19,-0.2,4.73037,3.84
-0.07,-0.19,-0.2,4.41908,3.984
-0.08,-0.19,-0.2,4.06507,4.08
-0.09,-0.19,-0.2,4.34584,4.224
-0.1,-0.19,-0.2,4.04065,7.696
-0.11,-0.19,-0.2,4.22376,4.432
-0.12,-0.19,-0.2,3.69884,4.544
-0.13,-0.19,-0.2,4.19324,4.656
-0.14,-0.19,-0.2,4.00403,15.104
-0.15,-0.19,-0.2,4.92569,7.744
-0.16,-0.19,-0.2,4.7792,8.048
-0.17,-0.19,-0.2,5.23698,13.44
-0.18,-0.19,-0.2,4.79751,8.272
-0.19,-0.19,-0.2,5.54216,8.384
-0.2,-0.19,-0.2,6.48824,8.512
-0.21,-0.19,-0.2,6.37837,8.816
-0.22,-0.19,-0.2,6.70186,8.896
-0.23,-0.19,-0.2,6.7568,8.848
-0.24,-0.19,-0.2,6.34175,8.96
-0.25,-0.19,-0.2,5.90228,9.056
-0.26,-0.19,-0.2,6.01215,9.344
-0.27,-0.19,-0.2,5.55437,9.12
-0.28,-0.19,-0.2,5.02335,9.248
-0.29,-0.19,-0.2,5.15152,9.744
-0.3,-0.19,-0.2,6.09149,6.832
-0.31,-0.19,-0.2,5.12711,10.032
-0.32,-0.19,-0.2,6.71407,10.096
-0.33,-0.19,-0.2,5.40178,7.312
-0.34,-0.19,-0.2,6.24409,10.32
-0.35,-0.19,-0.2,6.34175,10.48
-0.36,-0.19,-0.2,6.14032,10.608
-0.37,-0.19,-0.2,7.0925,7.92
-0.38,-0.19,-0.2,6.29902,8.096
-0.39,-0.19,-0.2,6.35395,10.992
-0.4,-0.19,-0.2,5.95111,8.4
-0.4,-0.18,-0.2,7.51366,8.384
-0.39,-0.18,-0.2,7.70287,10.928
-0.38,-0.18,-0.2,7.33055,10.816
-0.37,-0.18,-0.2,6.45772,7.872
-0.36,-0.18,-0.2,5.98773,10.528
-0.35,-0.18,-0.2,6.07318,7.536
-0.34,-0.18,-0.2,6.63472,10.256
-0.33,-0.18,-0.2,6.2624,10.208
-0.32,-0.18,-0.2,5.70696,10
-0.31,-0.18,-0.2,6.23188,9.872
-0.3,-0.18,-0.2,6.90939,9.728
-0.29,-0.18,-0.2,6.07318,9.648
-0.28,-0.18,-0.2,5.7741,9.504
-0.27,-0.18,-0.2,5.18815,9.424
-0.26,-0.18,-0.2,6.15253,9.312
-0.25,-0.18,-0.2,7.39769,8.96
-0.24,-0.18,-0.2,6.95212,8.864
-0.23,-0.18,-0.2,6.96432,8.784
-0.22,-0.18,-0.2,7.42821,8.64
-0.21,-0.18,-0.2,7.36106,8.512
-0.2,-0.18,-0.2,7.04367,8.432
-0.19,-0.18,-0.2,6.01215,8.304
-0.18,-0.18,-0.2,5.12711,8.176
-0.17,-0.18,-0.2,4.88296,8.08
-0.16,-0.18,-0.2,4.15662,8.336
-0.15,-0.18,-0.2,3.75988,8.048
-0.14,-0.18,-0.2,4.22376,7.584
-0.13,-0.18,-0.2,3.83923,4.576
-0.12,-0.18,-0.2,4.01013,4.4
-0.11,-0.18,-0.2,3.85754,5.92
-0.1,-0.18,-0.2,3.80871,4.208
-0.09,-0.18,-0.2,4.54115,5.408
-0.08,-0.18,-0.2,3.61339,4.048
-0.07,-0.18,-0.2,4.68764,3.856
-0.06,-0.18,-0.2,5.01114,3.792
-0.05,-0.18,-0.2,5.57878,3.648
-0.04,-0.18,-0.2,5.31632,3.552
-0.03,-0.18,-0.2,5.45061,3.456
-0.02,-0.18,-0.2,4.66323,3.184
-0.01,-0.18,-0.2,4.4496,3.312
0,-0.18,-0.2,3.9552,3.248
0,-0.17,-0.2,4.64492,2.992
-0.01,-0.17,-0.2,4.87075,4.336
-0.02,-0.17,-0.2,4.98062,3.312
-0.03,-0.17,-0.2,6.2685,3.408
-0.04,-0.17,-0.2,5.04776,3.536
-0.05,-0.17,-0.2,5.38957,3.648
-0.06,-0.17,-0.2,4.2848,7.04
-0.07,-0.17,-0.2,4.62661,3.84
-0.08,-0.17,-0.2,4.04065,5.504
-0.09,-0.17,-0.2,4.38246,4.08
-0.1,-0.17,-0.2,3.00302,11.152
-0.11,-0.17,-0.2,3.24107,5.872
-0.12,-0.17,-0.2,3.92468,10.096
-0.13,-0.17,-0.2,3.57677,6.08
-0.14,-0.17,-0.2,4.16883,4.704
-0.15,-0.17,-0.2,4.49843,11.856
-0.16,-0.17,-0.2,4.96841,8.128
-0.17,-0.17,-0.2,5.12711,7.808
-0.18,-0.17,-0.2,6.12201,8.176
-0.19,-0.17,-0.2,6.72018,8.304
-0.2,-0.17,-0.2,7.39769,8.352
-0.21,-0.17,-0.2,7.22068,8.48
-0.22,-0.17,-0.2,7.94092,8.592
-0.23,-0.17,-0.2,7.26341,8.704
-0.24,-0.17,-0.2,6.60421,9.04
-0.25,-0.17,-0.2,6.19526,9.168
-0.26,-0.17,-0.2,5.85345,9.28
-0.27,-0.17,-0.2,5.52385,9.168
-0.28,-0.17,-0.2,6.36616,9.536
-0.29,-0.17,-0.2,6.56758,9.632
-0.3,-0.17,-0.2,6.29292,9.744
-0.31,-0.17,-0.2,6.84225,9.84
-0.32,-0.17,-0.2,6.38447,10.032
-0.33,-0.17,-0.2,6.29292,7.424
-0.34,-0.17,-0.2,7.45872,10.272
-0.35,-0.17,-0.2,7.31834,10.384
-0.36,-0.17,-0.2,7.22678,10.56
-0.37,-0.17,-0.2,6.86056,7.92
-0.38,-0.17,-0.2,6.97653,10.768
-0.39,-0.17,-0.2,7.83105,8.24
-0.4,-0.17,-0.2,7.55028,8.576
-0.4,-0.16,-0.2,7.5808,8.528
-0.39,-0.16,-0.2,7.34886,10.848
-0.38,-0.16,-0.2,7.42821,8.144
-0.37,-0.16,-0.2,7.36106,7.84
-0.36,-0.16,-0.2,7.4221,7.872
