X,Y,Z,Amp,Tof
0,-0.2,-0.2,6.96432,12.32
0,-0.1975,-0.2,6.53706,12.32
0,-0.195,-0.2,7.55028,13.744
0,-0.1925,-0.2,7.84936,12.368
0,-0.19,-0.2,6.37226,13.664
0,-0.1875,-0.2,7.80053,12.304
0,-0.185,-0.2,7.11692,12.352
0,-0.1825,-0.2,7.87378,12.304
0,-0.18,-0.2,7.97754,12.32
0,-0.1775,-0.2,8.19117,12.304
0,-0.175,-0.2,8.24,12.32
0,-0.1725,-0.2,8.10572,12.32
0,-0.17,-0.2,8.50246,12.304
0,-0.1675,-0.2,8.34376,12.32
0,-0.165,-0.2,8.80764,12.32
0,-0.1625,-0.2,7.84936,12.304
0,-0.16,-0.2,8.35597,12.272
0,-0.1575,-0.2,9.58892,12.256
0,-0.155,-0.2,9.17386,12.304
0,-0.1525,-0.2,8.81985,12.32
0,-0.15,-0.2,9.41801,12.256
0,-0.1475,-0.2,9.99176,12.256
0,-0.145,-0.2,9.69878,12.272
0,-0.1425,-0.2,9.97955,12.256
0,-0.14,-0.2,9.86969,12.288
0,-0.1375,-0.2,10.0711,12.24
0,-0.135,-0.2,10.3824,12.272
0,-0.1325,-0.2,10.3214,12.224
0,-0.13,-0.2,10.2115,12.288
0,-0.1275,-0.2,10.773,12.24
0,-0.125,-0.2,11.1148,12.24
0,-0.1225,-0.2,11.7618,12.24
0,-0.12,-0.2,10.7913,12.208
0,-0.1175,-0.2,11.9266,12.24
0,-0.115,-0.2,11.5116,12.24
0,-0.1125,-0.2,11.3407,12.192
0,-0.11,-0.2,11.9877,12.208
0,-0.1075,-0.2,12.0304,12.224
0,-0.105,-0.2,12.4393,12.192
0,-0.1025,-0.2,12.5126,12.208
0,-0.1,-0.2,13.1169,12.224
0,-0.0975,-0.2,12.4821,12.224
0,-0.095,-0.2,12.9948,12.208
0,-0.0925,-0.2,12.7689,12.16
0,-0.09,-0.2,13.3488,12.224
0,-0.0875,-0.2,13.7761,12.176
0,-0.085,-0.2,13.4465,12.192
0,-0.0825,-0.2,13.7883,12.176
0,-0.08,-0.2,13.9348,12.176
0,-0.0775,-0.2,13.7761,12.176
0,-0.075,-0.2,13.8432,12.224
0,-0.0725,-0.2,14.771,12.224
0,-0.07,-0.2,14.8137,12.208
0,-0.0675,-0.2,14.4353,12.192
0,-0.065,-0.2,14.1911,12.192
0,-0.0625,-0.2,15.7292,12.192
0,-0.06,-0.2,15.0212,12.192
0,-0.0575,-0.2,14.9785,12.192
0,-0.055,-0.2,15.363,12.192
0,-0.0525,-0.2,15.3935,12.208
0,-0.05,-0.2,16.1626,12.176
0,-0.0475,-0.2,15.9124,12.176
0,-0.045,-0.2,16.0833,12.176
0,-0.0425,-0.2,17.2613,12.176
0,-0.04,-0.2,15.1433,12.16
0,-0.0375,-0.2,16.5593,12.176
0,-0.035,-0.2,16.2847,12.176
0,-0.0325,-0.2,15.9185,12.208
0,-0.03,-0.2,16.0955,12.192
0,-0.0275,-0.2,16.4251,12.16
0,-0.025,-0.2,16.5654,12.192
0,-0.0225,-0.2,16.3518,12.176
0,-0.02,-0.2,16.9012,12.176
0,-0.0175,-0.2,17.3956,12.192
0,-0.015,-0.2,15.9429,12.176
0,-0.0125,-0.2,16.8157,12.176
0,-0.01,-0.2,15.7414,12.144
0,-0.0075,-0.2,17.188,12.192
0,-0.005,-0.2,16.3945,12.16
0,-0.0025,-0.2,18.9032,12.192
0,0,-0.2,16.5654,12.192
0,0.0025,-0.2,16.6814,12.192
0,0.005,-0.2,16.5532,12.208
0,0.0075,-0.2,16.95,12.192
0,0.01,-0.2,17.3162,12.192
0,0.0125,-0.2,17.2918,12.208
0,0.015,-0.2,16.6936,12.192
0,0.0175,-0.2,16.3396,12.176
0,0.02,-0.2,16.7791,12.208
0,0.0225,-0.2,16.8828,12.208
0,0.025,-0.2,16.3152,12.208
0,0.0275,-0.2,17.0293,12.192
0,0.03,-0.2,17.3162,12.192
